off	sire	dam	sexe
IF2014007610	205057	IF2011001084	M
IF2014007612	207485	IF2011001308	M
IF2014007613	205882	IF2011001308	M
IF2014007615	205899	IF2011001109	F
IF2014007616	206248	IF2011001109	U
IF2014007617	208678	IF2011001095	M
IF2014007620	208678	IF2011001308	M
IF2014007621	205882	IF2011001109	M
IF2014007623	110855	IF2011001095	F
IF2014007625	95003	IF2011001308	U
IF2014007626	206333	IF2011001308	F
IF2014007627	95165	IF2011001095	F
IF2014007628	207485	IF2011001109	U
IF2014007630	204896	IF2011001099	M
IF2014007631	209360	IF2011001109	M
IF2014007632	75653	IF2011001099	M
IF2014007633	208678	IF2011001109	U
IF2014007635	96021	IF2011001109	U
IF2014007636	100849	IF2011001109	F
IF2014007637	211267	IF2011001109	M
IF2014007638	211267	IF2011001092	M
IF2014007639	204565	IF2011001109	F
IF2014007642	110855	IF2011001109	F
IF2014007644	110855	IF2011001099	F
IF2014007645	204896	IF2011001099	M
IF2014007646	103278	IF2011001095	M
IF2014007649	100849	IF2011001092	F
IF2014007650	205882	IF2011001095	U
IF2014007653	206125	IF2011001084	M
IF2014007654	207485	IF2011001070	U
IF2014007655	207485	IF2011001061	U
IF2014007657	*3	IF2011001070	U
IF2014007658	205057	IF2011001061	M
IF2014007660	205638	IF2011001070	F
IF2014007662	95165	IF2011001308	U
IF2014007664	206333	IF2011001095	F
IF2014007665	205057	IF2011001308	M
IF2014007666	211069	IF2011001109	M
IF2014007667	208678	IF2011001109	U
IF2014007668	208678	IF2011001109	M
IF2014007669	205882	IF2011001308	U
IF2014007671	101770	IF2011001092	U
IF2014007672	100849	IF2011001308	F
IF2014007673	103278	IF2011001092	M
IF2014007675	74139	IF2011001061	F
IF2014007676	205638	IF2011001095	M
IF2014007678	95165	IF2011001095	F
IF2014007681	103278	IF2011001092	F
IF2014007682	211069	IF2011001095	M
IF2014007683	206125	IF2011001095	U
IF2014007684	74139	IF2011001109	F
IF2014007685	204565	IF2011001070	U
IF2014007687	211069	IF2011001095	F
IF2014007688	208678	IF2011001092	M
IF2014007689	208678	IF2011001092	M
IF2014007691	205882	IF2011001092	U
IF2014007692	208678	IF2011001109	U
IF2014007693	205882	IF2011001092	M
IF2014007695	208678	IF2011001099	M
IF2014007696	207485	IF2011001109	U
IF2014007697	75653	IF2011001070	F
IF2014007700	101770	IF2011001308	F
IF2014007701	95165	IF2011001084	F
IF2014007702	95003	IF2011001084	F
IF2014007703	95165	IF2011001084	F
IF2014007704	208678	IF2011001109	M
IF2014007707	100849	IF2011001095	U
IF2014007708	204565	IF2011001092	U
IF2014007709	205882	IF2011001099	F
IF2014007711	205057	IF2011001109	F
IF2014007712	208678	IF2011001308	M
IF2014007713	74139	IF2011001095	U
IF2014007715	211069	IF2011001092	M
IF2014007716	205882	IF2011001099	F
IF2014007717	207485	IF2011001092	F
IF2014007718	206473	IF2011001095	U
IF2014007720	205882	IF2011001308	M
IF2014007721	205882	IF2011001092	M
IF2014007723	206473	IF2011001099	F
IF2014007726	95003	IF2011001109	M
IF2014007728	205882	IF2011001308	F
IF2014007731	205638	IF2011001092	F
IF2014007732	206248	IF2011001092	M
IF2014007734	208678	IF2011001061	M
IF2014007735	207485	IF2011001092	F
IF2014007736	100849	IF2011001095	F
IF2014007737	207485	IF2011001084	F
IF2014007738	205882	IF2011001109	U
IF2014007739	101770	IF2011001092	F
IF2014007740	*3	IF2011001099	M
IF2014007741	205882	IF2011001070	M
IF2014007742	208678	IF2011001070	U
IF2014007743	204896	IF2011001095	M
IF2014007744	206125	IF2011001095	M
IF2014007745	95165	IF2011001092	M
IF2014007746	205899	IF2011001099	U
IF2014007747	96021	IF2011001092	U
IF2014007750	209360	IF2011001308	M
IF2014007751	207485	IF2011001070	F
IF2014007752	208678	IF2011001095	M
IF2014007755	95165	IF2011001095	M
IF2014007756	209493	IF2011001070	U
IF2014007757	96021	IF2011001095	M
IF2014007759	206333	IF2011001095	F
IF2014007760	204565	IF2011001061	M
IF2014007761	101770	IF2011001095	M
IF2014007762	207485	IF2011001099	F
IF2014007763	96021	IF2011001092	M
IF2014007764	100849	IF2011001092	U
IF2014007765	95003	IF2011001084	U
IF2014007767	*3	IF2011001099	M
IF2014007770	211069	IF2011001095	U
IF2014007771	95165	IF2011001084	U
IF2014007772	205638	IF2011001109	M
IF2014007773	100849	IF2011001308	U
IF2014007774	*3	IF2011001070	F
IF2014007775	101770	IF2011001308	U
IF2014007776	100849	IF2011001109	U
IF2014007777	206125	IF2011001092	U
IF2014007778	74139	IF2011001109	U
IF2014007779	205057	IF2011001084	U
IF2014007780	211267	IF2011001084	U
IF2014007781	211069	IF2011001308	U
IF2014007782	209360	IF2011001084	U
IF2014007783	208678	IF2011001095	U
IF2014007785	204565	IF2011001095	F
IF2014007786	*3	IF2011001095	F
IF2014007789	100849	IF2011001109	U
IF2014007790	205057	IF2011001109	F
IF2014007791	74139	IF2011001061	M
IF2014007792	206125	IF2011001070	U
IF2014007793	205882	IF2011001061	M
IF2014007794	100849	IF2011001061	F
IF2014007797	211069	IF2011001109	U
IF2014007799	208678	IF2011001109	U
IF2014007800	204896	IF2011001109	U
IF2014007801	95165	IF2011001099	U
IF2014007802	204896	IF2011001092	F
IF2014007803	209360	IF2011001095	U
IF2014007804	207485	IF2011001308	U
IF2014007805	74139	IF2011001099	F
IF2014007807	208678	IF2011001084	U
IF2014007808	103278	IF2011001095	M
IF2014007809	110855	IF2011001095	F
IF2014007810	206248	IF2011001061	U
IF2014007811	205057	IF2011001099	F
IF2014007813	101770	IF2011001070	U
IF2014007816	208678	IF2011001092	U
IF2014007818	208678	IF2011001084	M
IF2014007820	74139	IF2011001099	U
IF2014007822	206248	IF2011001070	U
IF2014007823	205638	IF2011001070	M
IF2014007824	101770	IF2011001070	F
IF2014007825	103278	IF2011001084	M
IF2014007826	205882	IF2011001308	F
IF2014007828	205899	IF2011001061	M
IF2014007829	95165	IF2011001092	F
IF2014007830	208678	IF2011001092	F
IF2014007831	211069	IF2011001109	U
IF2014007832	207485	IF2011001109	U
IF2014007833	204565	IF2011001092	M
IF2014007835	209360	IF2011001061	U
IF2014007836	205638	IF2011001099	U
IF2014007837	205638	IF2011001092	U
IF2014007838	209360	IF2011001092	U
IF2014007839	208678	IF2011001109	M
IF2014007840	209493	IF2011001109	F
IF2014007841	101770	IF2011001092	M
IF2014007842	208678	IF2011001109	U
IF2014007843	100849	IF2011001070	F
IF2014007844	204896	IF2011001095	U
IF2014007846	211267	IF2011001099	F
IF2014007847	75653	IF2011001109	F
IF2014007849	74139	IF2011001070	U
IF2014007850	204565	IF2011001084	M
IF2014007851	208678	IF2011001095	U
IF2014007852	205638	IF2011001061	U
IF2014007853	100849	IF2011001095	U
IF2014007854	209360	IF2011001092	M
IF2014007855	205882	IF2011001109	M
IF2014007857	208678	IF2011001092	F
IF2014007858	205882	IF2011001099	U
IF2014007859	206248	IF2011001084	F
IF2014007860	74139	IF2011001109	F
IF2014007861	211069	IF2011001092	U
IF2014007862	208678	IF2011001095	M
IF2014007863	74139	IF2011001092	U
IF2014007864	100849	IF2011001095	F
IF2014007867	208678	IF2011001084	F
IF2014007868	205638	IF2011001092	U
IF2014007869	207485	IF2011001109	M
IF2014007870	205638	IF2011001092	M
IF2014007871	211069	IF2011001095	M
IF2014007872	75653	IF2011001109	F
IF2014007873	205882	IF2011001109	M
IF2014007874	74139	IF2011001308	F
IF2014007875	208678	IF2011001099	U
