off	sire	dam	sexe
IF2014008185	SEM4	IF2011001179	U
IF2014008186	NEM5	IF2011001135	M
IF2014008187	IOLR.DL.SEM0..2017.12	IF2011001102	U
IF2014008188	IOLR.DL.SEM0..2017.15	IF2011001179	F
IF2014008189	95003	IF2011001099	U
IF2014008190	BMC.DL.NEM0..2017.15	IF2011001207	U
IF2014008191	BMC.DL.NEM0..2017.9	IF2011001249	U
IF2014008192	211069	IF2011001084	M
IF2014008193	209360	IF2011001095	M
IF2014008194	IOLR.DL.SEM0..2017.1	IF2011001179	F
IF2014008195	IOLR.DL.SEM0..2017.8	IF2011001179	M
IF2014008197	101770	IF2011001092	M
IF2014008198	IOLR.DL.SEM0..2017.12	#1	U
IF2014008199	BMC.DL.NEM0..2017.3	IF2011001179	U
IF2014008200	IOLR.DL.SEM0..2017.17	IF2011001249	U
IF2014008201	IOLR.DL.SEM0..2017.16	IF2011001249	U
IF2014008202	BMC.DL.NEM0..2017.16	IF2011001249	U
IF2014008203	208678	IF2011001095	F
IF2014008204	SEM4	IF2011001179	F
IF2014008205	BMC.DL.NEM0..2017.1	IF2011001135	U
IF2014008207	BMC.DL.NEM0..2017.15	IF2011001207	F
IF2014008208	IOLR.DL.SEM0..2017.1	IF2011001179	F
IF2014008209	IOLR.DL.SEM0..2017.14	IF2011001179	U
IF2014008210	BMC.DL.NEM0..2017.7	IF2011001179	M
IF2014008212	BMC.DL.NEM0..2017.29	IF2011001249	U
IF2014008213	SEM4	IF2011001179	F
IF2014008214	SEM2	IF2011001249	U
IF2014008215	BMC.DL.NEM0..2017.29	IF2011001135	M
IF2014008216	*5	IF2011001249	M
IF2014008217	BMC.DL.NEM0..2017.7	IF2011001249	M
IF2014008218	IOLR.DL.SEM0..2017.13	IF2011001135	M
IF2014008219	BMC.DL.NEM0..2017.3	IF2011001249	U
IF2014008220	BMC.DL.NEM0..2017.7	IF2011001005	U
IF2014008221	NEM13	IF2011001135	M
IF2014008222	IOLR.DL.SEM0..2017.7	IF2011001249	U
IF2014008223	*2	IF2011001179	F
IF2014008224	205882	IF2011001095	M
IF2014008225	BMC.DL.NEM0..2017.1	#1	M
IF2014008226	IOLR.DL.SEM0..2017.7	IF2011001179	M
IF2014008228	SEM2	IF2011001005	U
IF2014008229	NEM13	IF2011001179	U
IF2014008230	IOLR.DL.SEM0..2017.14	IF2011001249	U
IF2014008231	NEM11	IF2011001207	M
IF2014008232	BMC.DL.NEM0..2017.3	IF2011001179	U
IF2014008233	IOLR.DL.SEM0..2017.10	IF2011001107	M
IF2014008234	IOLR.DL.SEM0..2017.6	IF2011001280	M
IF2014008235	207485	IF2011001109	F
IF2014008236	IOLR.DL.SEM0..2017.1	IF2011001249	U
IF2014008237	*4	#1	U
IF2014008238	100849	IF2011001092	F
IF2014008239	SEM4	IF2011001249	U
IF2014008240	IOLR.DL.SEM0..2017.8	IF2011001179	M
IF2014008241	95003	IF2011001061	M
IF2014008243	BMC.DL.NEM0..2017.4	IF2011001249	M
IF2014008245	IOLR.DL.SEM0..2017.13	IF2011001249	U
IF2014008246	IOLR.DL.SEM0..2017.20	IF2011001280	M
IF2014008247	101770	IF2011001061	M
IF2014008248	IOLR.DL.SEM0..2017.8	IF2011001179	F
IF2014008249	95165	IF2011001070	F
IF2014008250	110855	IF2011001095	F
IF2014008251	NEM11	IF2011001280	M
IF2014008252	74139	IF2011001095	M
IF2014008253	BMC.DL.NEM0..2017.16	IF2011001179	M
IF2014008254	211069	IF2011001308	U
IF2014008255	BMC.DL.NEM0..2017.10	#1	F
IF2014008256	204565	IF2011001095	F
IF2014008258	NEM5	IF2011001179	F
IF2014008259	205057	IF2011001099	F
IF2014008260	75653	IF2011001061	F
IF2014008261	NEM5	IF2011001135	F
IF2014008262	NEM5	IF2011001135	U
IF2014008264	IOLR.DL.SEM0..2017.19	IF2011001249	U
IF2014008268	IOLR.DL.SEM0..2017.14	#1	U
IF2014008270	*3	IF2011001092	U
IF2014008271	95165	IF2011001061	F
IF2014008272	IOLR.DL.SEM0..2017.5	IF2011001179	F
IF2014008273	*3	IF2011001092	U
IF2014008274	211267	IF2011001109	M
IF2014008275	SEM4	IF2011001135	F
IF2014008276	206333	IF2011001095	M
IF2014008277	205882	IF2011001070	F
IF2014008278	208678	IF2011001109	F
IF2014008279	BMC.DL.NEM0..2017.10	IF2011001102	F
IF2014008281	211069	IF2011001070	M
IF2014008282	209360	IF2011001308	M
IF2014008283	110855	IF2011001095	F
IF2014008284	IOLR.DL.SEM0..2017.7	IF2011001102	U
IF2014008285	205899	IF2011001084	F
IF2014008287	SEM2	IF2011001280	U
IF2014008288	IOLR.DL.SEM0..2017.6	#1	F
IF2014008289	208678	IF2011001070	U
IF2014008290	204896	IF2011001084	F
IF2014008291	IOLR.DL.SEM0..2017.10	IF2011001135	F
IF2014008292	211267	IF2011001095	M
IF2014008293	*3	IF2011001099	F
IF2014008294	SEM4	IF2011001280	U
IF2014008295	*4	IF2011001249	M
IF2014008296	BMC.DL.NEM0..2017.29	IF2011001135	U
IF2014008297	IOLR.DL.SEM0..2017.1	IF2011001179	F
IF2014008299	IOLR.DL.SEM0..2017.12	IF2011001249	U
IF2014008300	101770	IF2011001092	F
IF2014008301	207485	IF2011001308	F
IF2014008302	BMC.DL.NEM0..2017.6	IF2011001135	U
IF2014008303	209360	IF2011001308	M
IF2014008304	96021	IF2011001099	M
IF2014008305	209493	IF2011001095	F
IF2014008307	205057	IF2011001109	U
IF2014008308	BMC.DL.NEM0..2017.15	IF2011001135	U
IF2014008309	211069	IF2011001099	M
IF2014008310	NEM5	IF2011001179	F
IF2014008311	*3	IF2011001095	U
IF2014008312	*3	IF2011001109	U
IF2014008313	206248	IF2011001109	F
IF2014008315	95003	IF2011001095	M
IF2014008316	208678	IF2011001092	M
IF2014008317	BMC.DL.NEM0..2017.29	IF2011001249	U
IF2014008318	205638	IF2011001084	F
IF2014008319	206473	IF2011001109	M
IF2014008320	*3	IF2011001109	F
IF2014008322	206333	IF2011001092	F
IF2014008323	206248	IF2011001095	F
IF2014008325	205638	IF2011001095	M
IF2014008326	BMC.DL.NEM0..2017.9	IF2011001179	F
IF2014008327	205899	IF2011001092	U
IF2014008328	100849	IF2011001084	U
IF2014008329	211069	IF2011001084	U
IF2014008330	BMC.DL.NEM0..2017.10	IF2011001249	U
IF2014008331	204896	IF2011001084	F
IF2014008332	207485	IF2011001092	F
IF2014008334	205057	IF2011001095	M
IF2014008335	205638	IF2011001308	M
IF2014008336	205638	IF2011001092	F
IF2014008337	*3	IF2011001099	M
IF2014008339	IOLR.DL.SEM0..2017.10	IF2011001179	F
IF2014008340	IOLR.DL.SEM0..2017.3	IF2011001135	M
IF2014008341	BMC.DL.NEM0..2017.9	IF2011001179	F
IF2014008344	BMC.DL.NEM0..2017.16	IF2011001207	U
IF2014008345	207485	IF2011001070	U
IF2014008346	BMC.DL.NEM0..2017.10	IF2011001179	F
IF2014008349	95165	IF2011001092	M
IF2014008350	BMC.DL.NEM0..2017.16	IF2011001249	U
IF2014008351	BMC.DL.NEM0..2017.15	IF2011001249	U
IF2014008352	103278	IF2011001109	M
IF2014008353	100849	IF2011001092	M
IF2014008355	SEM2	IF2011001179	F
IF2014008356	101770	IF2011001092	M
IF2014008357	IOLR.DL.SEM0..2017.14	IF2011001135	U
IF2014008358	75653	IF2011001095	M
IF2014008359	95165	IF2011001109	F
IF2014008360	BMC.DL.NEM0..2017.8	IF2011001486	F
IF2014008361	205057	IF2011001092	F
IF2014008362	IOLR.DL.SEM0..2017.8	#1	F
IF2014008363	75653	IF2011001109	F
IF2014008364	IOLR.DL.SEM0..2017.13	IF2011001249	U
IF2014008365	211267	IF2011001084	F
IF2014008366	204896	IF2011001308	F
IF2014008367	95165	IF2011001099	F
IF2014008368	NEM11	IF2011001249	U
IF2014008369	*2	IF2011001249	M
IF2014008370	IOLR.DL.SEM0..2017.6	IF2011001135	F
IF2014008371	BMC.DL.NEM0..2017.6	IF2011001005	U
IF2014008373	205057	IF2011001095	M
IF2014008375	204896	IF2011001084	M
IF2014008376	204896	IF2011001084	F
IF2014008378	205638	IF2011001095	M
IF2014008379	BMC.DL.NEM0..2017.29	IF2011001179	U
IF2014008380	NEM13	IF2011001249	U
IF2014008381	BMC.DL.NEM0..2017.6	IF2011001249	M
IF2014008382	205882	IF2011001095	M
IF2014008384	101770	IF2011001109	U
IF2014008385	103278	IF2011001095	M
IF2014008386	*3	IF2011001070	F
IF2014008387	205638	IF2011001109	U
IF2014008388	IOLR.DL.SEM0..2017.5	IF2011001280	U
IF2014008389	205882	IF2011001099	M
IF2014008390	95165	IF2011001092	F
IF2014008391	NEM5	IF2011001486	M
IF2014008392	205882	IF2011001109	M
IF2014008393	BMC.DL.NEM0..2017.16	IF2011001102	M
IF2014008394	205899	IF2011001092	M
IF2014008395	*2	IF2011001207	F
IF2014008396	204565	IF2011001308	F
IF2014008397	204565	IF2011001092	M
IF2014008398	BMC.DL.NEM0..2017.4	IF2011001020	U
IF2014008399	208678	IF2011001092	F
IF2014008400	BMC.DL.NEM0..2017.10	IF2011001207	F
IF2014008401	BMC.DL.NEM0..2017.10	IF2011001249	F
IF2014008402	207485	IF2011001109	F
IF2014008403	IOLR.DL.SEM0..2017.17	#1	F
IF2014008404	IOLR.DL.SEM0..2017.8	IF2011001135	F
IF2014008405	IOLR.DL.SEM0..2017.9	IF2011001249	U
IF2014008407	204896	IF2011001109	M
IF2014008408	75653	IF2011001109	F
IF2014008411	BMC.DL.NEM0..2017.8	IF2011001207	M
IF2014008412	BMC.DL.NEM0..2017.15	IF2011001249	U
IF2014008413	95003	IF2011001070	U
IF2014008414	209493	IF2011001109	F
IF2014008415	BMC.DL.NEM0..2017.2	IF2011001249	U
IF2014008416	103278	IF2011001308	M
IF2014008418	*5	IF2011001135	M
IF2014008419	96021	IF2011001109	M
IF2014008421	IOLR.DL.SEM0..2017.6	IF2011001179	M
IF2014008423	103278	IF2011001095	U
IF2014008425	207485	IF2011001109	F
IF2014008426	74139	IF2011001084	M
IF2014008428	205882	IF2011001095	M
IF2014008429	204565	IF2011001095	F
IF2014008430	BMC.DL.NEM0..2017.9	IF2011001280	M
IF2014008432	209360	IF2011001092	M
IF2014008433	205882	IF2011001099	F
IF2014008434	BMC.DL.NEM0..2017.6	IF2011001102	F
IF2014008435	101770	IF2011001109	M
IF2014008436	208678	IF2011001095	M
IF2014008437	205882	IF2011001308	F
IF2014008438	207485	IF2011001092	F
IF2014008439	204896	IF2011001084	F
IF2014008441	205057	IF2011001308	M
IF2014008442	101770	IF2011001070	M
IF2014008443	BMC.DL.NEM0..2017.6	IF2011001179	F
IF2014008445	206473	IF2011001061	M
IF2014008446	SEM2	IF2011001249	M
IF2014008447	211069	IF2011001092	M
IF2014008448	208678	IF2011001084	M
IF2014008449	101770	IF2011001070	F
IF2014008450	IOLR.DL.SEM0..2017.10	IF2011001107	U
IF2014008452	103278	IF2011001095	M
IF2014008453	SEM4	IF2011001135	M
IF2014008454	208678	IF2011001092	M
IF2014008455	208678	IF2011001084	M
IF2014008456	IOLR.DL.SEM0..2017.10	IF2011001179	F
IF2014008457	IOLR.DL.SEM0..2017.14	IF2011001280	F
IF2014008458	74139	IF2011001061	M
IF2014008459	208678	IF2011001084	F
IF2014008460	207485	IF2011001095	F
IF2014008461	BMC.DL.NEM0..2017.16	IF2011001102	F
IF2014008462	*5	IF2011001249	M
IF2014008463	*2	IF2011001249	F
IF2014008465	205899	IF2011001099	M
IF2014008466	75653	IF2011001109	F
IF2014008468	IOLR.DL.SEM0..2017.7	IF2011001179	M
IF2014008469	206248	IF2011001084	F
IF2014008470	205057	IF2011001308	M
IF2014008471	110855	IF2011001070	F
IF2014008472	96021	IF2011001070	M
IF2014008473	205882	IF2011001061	M
IF2014008474	204896	IF2011001095	U
IF2014008475	SEM4	IF2011001207	F
IF2014008476	SEM4	IF2011001179	F
IF2014008478	204565	IF2011001109	M
IF2014008479	205057	IF2011001092	F
IF2014008480	IOLR.DL.SEM0..2017.14	IF2011001249	U
IF2014008481	205057	IF2011001109	F
IF2014008483	204565	IF2011001308	M
IF2014008484	BMC.DL.NEM0..2017.9	IF2011001249	M
IF2014008486	103278	IF2011001095	M
IF2014008487	205638	IF2011001099	F
IF2014008488	74139	IF2011001099	M
IF2014008489	205057	IF2011001084	F
IF2014008490	205638	IF2011001099	M
IF2014008491	95165	IF2011001061	F
IF2014008492	101770	IF2011001099	F
IF2014008493	*3	IF2011001308	M
IF2014008494	BMC.DL.NEM0..2017.8	IF2011001280	U
IF2014008495	SEM2	IF2011001179	F
IF2014008496	208678	IF2011001070	F
IF2014008497	*3	IF2011001095	M
IF2014008498	205638	IF2011001070	M
IF2014008499	103278	IF2011001092	M
IF2014008500	206248	IF2011001092	F
IF2014008501	11008	IF2011001056	F
IF2014008502	454528	IF2011001072	M
IF2014008503	77028	IF2011001056	F
IF2014008504	172783	IF2011001058	M
IF2014008505	204387	IF2011001304	U
IF2014008506	204387	IF2011001289	F
IF2014008507	185618	IF2011001499	M
IF2014008508	98577	IF2011001058	U
IF2014008510	5130071	IF2011001058	U
IF2014008513	*1	IF2011001413	U
IF2014008514	192652	IF2011001072	M
IF2014008516	18432	IF2011001190	U
IF2014008517	98577	IF2011001072	M
IF2014008518	5130071	IF2011001079	M
IF2014008519	204387	IF2011001496	M
IF2014008521	5193653	IF2011001304	U
IF2014008522	204387	IF2011001056	F
IF2014008523	95654	IF2011001076	M
IF2014008524	185618	IF2011001087	M
IF2014008525	199339	IF2011001072	F
IF2014008526	101750	IF2011001304	M
IF2014008528	*1	IF2011001056	M
IF2014008529	*1	IF2011001072	M
IF2014008531	645312	IF2011001122	F
IF2014008532	11008	IF2011001058	M
IF2014008533	172783	IF2011001006	M
IF2014008534	853760	IF2011001304	F
IF2014008535	5196474	IF2011001190	F
IF2014008536	204910	IF2011001072	F
IF2014008537	761952	IF2011001122	M
IF2014008541	454528	IF2011001079	U
IF2014008542	761952	IF2011001435	M
IF2014008543	102209	IF2011001113	F
IF2014008544	*1	IF2011001079	M
IF2014008545	115872	IF2011001006	F
IF2014008546	5201254	IF2011001113	F
IF2014008549	204395	IF2011001079	U
IF2014008550	204395	IF2011001058	F
IF2014008554	204910	IF2011001413	U
IF2014008555	204910	IF2011001079	U
IF2014008556	204910	IF2011001289	U
IF2014008558	5187073	IF2011001006	M
IF2014008559	199339	IF2011001087	M
IF2014008560	5203735	IF2011001190	M
IF2014008561	103016	IF2011001079	F
IF2014008563	77028	IF2011001413	F
IF2014008566	5201254	IF2011001190	F
IF2014008569	5203735	IF2011001493	F
IF2014008570	5193653	IF2011001076	U
IF2014008573	5130071	IF2011001496	M
IF2014008574	454528	IF2011001190	M
IF2014008575	192652	IF2011001056	M
IF2014008576	5130071	IF2011001056	F
IF2014008577	98577	IF2011001072	U
IF2014008578	188185	IF2011001190	M
IF2014008579	204387	IF2011001072	M
IF2014008580	115872	IF2011001304	M
IF2014008581	115872	IF2011001122	U
IF2014008582	101750	IF2011001058	U
IF2014008583	5130071	IF2011001493	F
IF2014008584	185618	IF2011001304	U
IF2014008585	95654	IF2011001058	M
IF2014008586	5201254	IF2011001113	M
IF2014008590	192652	IF2011001289	M
IF2014008592	172783	IF2011001045	F
IF2014008594	204910	IF2011001496	M
IF2014008595	204910	IF2011001058	M
IF2014008597	102209	IF2011001056	F
IF2014008598	5130071	IF2011001413	U
IF2014008599	853760	IF2011001076	M
IF2014008602	454528	IF2011001190	F
IF2014008603	199339	IF2011001493	M
IF2014008604	102209	IF2011001122	M
IF2014008605	77028	IF2011001058	U
IF2014008606	101750	IF2011001122	M
IF2014008607	95654	IF2011001122	F
IF2014008608	5187073	IF2011001056	F
IF2014008609	77028	IF2011001499	F
IF2014008610	853760	IF2011001499	M
IF2014008611	204910	IF2011001076	F
IF2014008612	102209	IF2011001122	M
IF2014008613	204387	IF2011001087	F
IF2014008614	115872	IF2011001087	M
IF2014008615	115872	IF2011001079	M
IF2014008617	*1	IF2011001496	F
IF2014008618	853760	IF2011001079	M
IF2014008620	172783	IF2011001056	F
IF2014008621	*1	IF2011001499	M
IF2014008622	18432	IF2011001072	F
IF2014008623	172783	IF2011001113	M
IF2014008624	204387	IF2011001496	F
IF2014008625	5201254	IF2011001113	M
IF2014008627	5203735	IF2011001304	F
IF2014008628	*1	IF2011001493	M
IF2014008629	5196474	IF2011001304	M
IF2014008630	192652	IF2011001499	U
IF2014008631	102209	IF2011001072	F
IF2014008635	454528	IF2011001496	F
IF2014008638	853760	IF2011001413	M
IF2014008642	102209	IF2011001072	M
IF2014008644	5193653	IF2011001190	U
IF2014008645	188185	IF2011001058	M
IF2014008648	*1	IF2011001122	M
IF2014008649	5185509	IF2011001087	F
IF2014008651	18432	IF2011001056	F
IF2014008652	5193653	IF2011001499	F
IF2014008653	204387	IF2011001079	M
IF2014008654	5130071	IF2011001289	F
IF2014008655	5187073	IF2011001056	M
IF2014008656	5204006	IF2011001413	M
IF2014008658	5193653	IF2011001304	M
IF2014008661	95654	IF2011001087	M
IF2014008662	761952	IF2011001190	M
IF2014008663	204387	IF2011001190	U
IF2014008664	95654	IF2011001190	M
IF2014008665	199339	IF2011001499	F
IF2014008666	98577	IF2011001122	F
IF2014008667	204910	IF2011001045	M
IF2014008668	77028	IF2011001304	F
IF2014008669	172783	IF2011001087	F
IF2014008670	172783	IF2011001122	M
IF2014008671	98577	IF2011001072	U
IF2014008673	185618	IF2011001413	F
IF2014008674	102209	IF2011001006	F
IF2014008675	5130071	IF2011001056	M
IF2014008676	193778	IF2011001499	F
IF2014008677	18432	IF2011001056	F
IF2014008678	193778	IF2011001087	F
IF2014008679	5130071	IF2011001056	M
IF2014008681	18432	IF2011001413	F
IF2014008683	98577	IF2011001496	F
IF2014008684	204395	IF2011001496	M
IF2014008685	*1	IF2011001058	M
IF2014008686	*1	IF2011001072	F
IF2014008687	11008	IF2011001058	M
IF2014008689	5201254	IF2011001079	M
IF2014008690	204910	IF2011001058	F
IF2014008691	5204006	IF2011001045	U
IF2014008693	454528	IF2011001079	F
IF2014008694	192652	IF2011001072	M
IF2014008695	95654	IF2011001056	F
IF2014008696	115872	IF2011001496	U
IF2014008697	5187875	IF2011001056	F
IF2014008698	5189124	IF2011001079	M
IF2014008699	5130071	IF2011001076	M
IF2014008700	104242	IF2011001006	M
IF2014008701	5203735	IF2011001076	F
IF2014008702	645312	IF2011001056	F
IF2014008703	*1	IF2011001289	M
IF2014008704	185618	IF2011001076	U
IF2014008705	204910	IF2011001056	U
IF2014008708	204910	IF2011001493	F
IF2014008709	102209	IF2011001413	F
IF2014008710	5201254	IF2011001072	M
IF2014008711	5200708	IF2011001079	F
IF2014008714	199339	IF2011001190	F
IF2014008716	454528	IF2011001122	M
IF2014008718	204387	IF2011001072	M
IF2014008719	5196474	IF2011001079	F
IF2014008721	172783	IF2011001304	M
IF2014008722	204910	IF2011001045	M
IF2014008723	853760	IF2011001496	F
IF2014008725	5130071	IF2011001072	F
IF2014008726	204387	IF2011001056	M
IF2014008728	104242	IF2011001072	F
IF2014008731	95654	IF2011001190	M
IF2014008732	204395	IF2011001496	M
IF2014008733	645312	IF2011001413	M
IF2014008734	192652	IF2011001056	M
IF2014008735	204387	IF2011001079	F
IF2014008737	77028	IF2011001058	F
IF2014008738	204387	IF2011001304	M
IF2014008739	204910	IF2011001122	M
IF2014008740	98394	IF2011001496	M
IF2014008742	98577	IF2011001113	F
IF2014008743	5130071	IF2011001304	M
IF2014008744	98394	IF2011001045	M
IF2014008746	115872	IF2011001122	U
IF2014008747	115872	IF2011001496	U
IF2014008749	*1	IF2011001072	M
IF2014008750	204910	IF2011001087	U
IF2014008752	5196474	IF2011001413	U
IF2014008753	5189124	IF2011001076	M
IF2014008755	101750	IF2011001072	F
IF2014008756	77028	IF2011001056	F
IF2014008757	193778	IF2011001499	M
IF2014008758	5200708	IF2011001079	F
IF2014008759	204395	IF2011001056	M
IF2014008760	*1	IF2011001072	F
IF2014008761	185618	IF2011001413	F
IF2014008762	5201254	IF2011001079	F
IF2014008763	18432	IF2011001190	F
IF2014008764	5185509	IF2011001496	M
IF2014008765	102209	IF2011001076	F
IF2014008766	*1	IF2011001056	M
IF2014008767	101750	IF2011001289	U
IF2014008768	204910	IF2011001113	M
IF2014008769	192652	IF2011001056	M
IF2014008770	853760	IF2011001496	F
IF2014008771	645312	IF2011001190	M
IF2014008772	204387	IF2011001113	M
IF2014008773	204910	IF2011001499	M
IF2014008775	5196474	IF2011001289	M
IF2014008776	853760	IF2011001499	M
IF2014008779	645312	IF2011001122	M
IF2014008782	853760	IF2011001072	F
IF2014008783	185618	IF2011001122	M
IF2014008784	204387	IF2011001493	M
IF2014008785	5130071	IF2011001122	U
IF2014008786	853760	IF2011001304	U
IF2014008787	193778	IF2011001493	F
IF2014008788	102209	IF2011001058	M
IF2014008790	102209	IF2011001190	F
IF2014008791	193778	IF2011001190	M
IF2014008792	102209	IF2011001190	F
IF2014008793	5187073	IF2011001079	U
IF2014008794	761952	IF2011001056	F
IF2014008796	95654	IF2011001087	U
IF2014008797	115872	IF2011001056	M
IF2014008799	115872	IF2011001499	F
IF2014008801	5187073	IF2011001190	F
IF2014008802	5201254	IF2011001190	F
IF2014008803	*1	IF2011001113	M
IF2014008804	761952	IF2011001122	M
IF2014008806	115872	IF2011001304	M
IF2014008807	102209	IF2011001190	F
IF2014008808	853760	IF2011001190	F
IF2014008809	5203735	IF2011001289	F
IF2014008811	454528	IF2011001122	M
IF2014008812	5196474	IF2011001058	F
IF2014008813	101750	IF2011001190	M
IF2014008814	5193653	IF2011001087	M
IF2014008815	5203735	IF2011001045	M
IF2014008817	192652	IF2011001435	U
IF2014008818	98577	IF2011001076	F
IF2014008819	101750	IF2011001058	M
IF2014008820	101750	IF2011001499	F
IF2014008822	5185509	IF2011001190	M
IF2014008823	5200708	IF2011001493	M
IF2014008824	5196474	IF2011001044	U
IF2014008825	199339	IF2011001190	U
IF2014008826	204910	IF2011001079	F
IF2014008828	5185509	IF2011001499	M
IF2014008829	*1	IF2011001058	F
IF2014008831	5185509	IF2011001499	F
IF2014008832	102209	IF2011001493	F
IF2014008834	*1	IF2011001076	F
IF2014008835	645312	IF2011001058	F
IF2014008836	204395	IF2011001413	U
IF2014008837	5185509	IF2011001190	U
IF2014008838	115872	IF2011001056	F
IF2014008839	18432	IF2011001079	M
IF2014008840	454528	IF2011001079	M
IF2014008842	98394	IF2011001076	U
IF2014008843	*1	IF2011001413	F
IF2014008844	98577	IF2011001122	F
IF2014008845	102209	IF2011001122	U
IF2014008846	204387	IF2011001056	F
IF2014008848	95654	IF2011001113	M
IF2014008850	5193653	IF2011001190	F
IF2014008852	853760	IF2011001190	F
IF2014008853	115872	IF2011001122	U
IF2014008855	188185	IF2011001113	M
IF2014008856	*1	IF2011001056	F
IF2014008857	5130071	IF2011001435	M
IF2014008859	853760	IF2011001413	F
IF2014008861	645312	IF2011001499	F
IF2014008862	5201254	IF2011001079	F
IF2014008863	11008	IF2011001072	M
IF2014008864	*1	IF2011001056	M
IF2014008865	5201254	IF2011001087	F
IF2014008866	115872	IF2011001079	U
IF2014008868	5193653	IF2011001304	M
IF2014008869	*1	IF2011001122	M
IF2014008870	95654	IF2011001499	F
IF2014008871	193778	IF2011001190	F
IF2014008872	5204006	IF2011001190	M
IF2014008873	98577	IF2011001076	F
IF2014008874	5189124	IF2011001499	U
IF2014008875	5193653	IF2011001190	M
IF2014008876	5196474	IF2011001499	F
IF2014008877	*1	IF2011001079	F
IF2014008878	102209	IF2011001499	F
IF2014008880	172783	IF2011001413	U
IF2014008881	102209	IF2011001304	F
IF2014008883	5204006	IF2011001079	U
IF2014008884	5130071	IF2011001113	M
IF2014008885	5204006	IF2011001122	M
IF2014008888	5130071	IF2011001056	U
IF2014008889	102209	IF2011001079	F
IF2014008890	5201254	IF2011001076	F
IF2014008891	5196474	IF2011001496	M
IF2014008892	172783	IF2011001056	F
IF2014008893	98577	IF2011001056	M
IF2014008894	5201254	IF2011001493	M
IF2014008895	645312	IF2011001413	U
IF2014008896	*1	IF2011001072	U
IF2014008897	98577	IF2011001056	F
IF2014008898	5196474	IF2011001499	F
IF2014008900	115872	IF2011001056	M
IF2014008901	454528	IF2011001413	F
IF2014008902	454528	IF2011001079	M
IF2014008903	204910	IF2011001122	F
IF2014008906	204910	IF2011001496	M
IF2014008907	199339	IF2011001190	F
IF2014008908	5203735	IF2011001493	M
IF2014008910	77028	IF2011001072	M
IF2014008911	172783	IF2011001493	F
IF2014008912	115872	IF2011001113	M
IF2014008913	853760	IF2011001058	M
IF2014008914	115872	IF2011001006	M
IF2014008916	172783	IF2011001113	F
IF2014008918	5193653	IF2011001056	M
IF2014008919	*1	IF2011001496	M
IF2014008920	5185509	IF2011001056	F
IF2014008921	853760	IF2011001058	M
IF2014008922	454528	IF2011001056	F
IF2014008923	98394	IF2011001056	F
IF2014008925	172783	IF2011001499	F
IF2014008926	18432	IF2011001045	M
IF2014008927	761952	IF2011001496	M
IF2014008928	*1	IF2011001304	F
IF2014008931	199339	IF2011001072	M
IF2014008932	5185509	IF2011001006	M
IF2014008934	645312	IF2011001499	U
IF2014008935	204910	IF2011001079	F
IF2014008936	103016	IF2011001079	U
IF2014008939	172783	IF2011001056	M
IF2014008941	5187073	IF2011001113	U
IF2014008942	5203735	IF2011001496	U
IF2014008943	5130071	IF2011001493	M
IF2014008944	204387	IF2011001496	M
IF2014008945	95654	IF2011001190	U
IF2014008947	98577	IF2011001076	F
IF2014008948	5201254	IF2011001076	M
IF2014008949	204910	IF2011001496	F
IF2014008950	853760	IF2011001079	F
IF2014008952	77028	IF2011001113	F
IF2014008955	192652	IF2011001304	U
IF2014008956	77028	IF2011001056	F
IF2014008957	5203735	IF2011001056	F
IF2014008958	204387	IF2011001496	U
IF2014008960	5187073	IF2011001056	F
IF2014008961	102209	IF2011001076	F
IF2014008962	98394	IF2011001079	F
IF2014008963	5193653	IF2011001056	U
IF2014008965	204910	IF2011001056	F
IF2014008966	193778	IF2011001058	M
IF2014008967	5187073	IF2011001076	F
IF2014008968	853760	IF2011001493	M
IF2014008969	5203735	IF2011001079	U
IF2014008970	5201254	IF2011001058	M
IF2014008973	77028	IF2011001056	F
IF2014008975	193778	IF2011001190	M
IF2014008976	5203735	IF2011001113	M
IF2014008977	5193653	IF2011001072	F
IF2014008978	77028	IF2011001289	M
IF2014008979	101750	IF2011001072	U
IF2014008980	102209	IF2011001190	F
IF2014008981	5203735	IF2011001190	U
IF2014008982	5130071	IF2011001413	M
IF2014008983	5189124	IF2011001045	F
IF2014008984	761952	IF2011001413	M
IF2014008989	5185509	IF2011001289	M
IF2014008990	*1	IF2011001006	F
IF2014008991	204395	IF2011001122	M
IF2014008993	193778	IF2011001122	F
IF2014008994	5200708	IF2011001493	M
IF2014008995	5193653	IF2011001056	U
IF2014008996	5189124	IF2011001496	U
IF2014008997	98577	IF2011001006	F
IF2014008998	5185509	IF2011001190	M
IF2014008999	102209	IF2011001499	F
IF2014009000	18432	IF2011001058	F
IF2014009001	5203735	IF2011001304	F
IF2014009002	*1	IF2011001058	M
IF2014009004	192652	IF2011001496	F
IF2014009005	11008	IF2011001190	F
IF2014009007	*1	IF2011001113	M
IF2014009008	95654	IF2011001006	F
IF2014009009	5201254	IF2011001190	F
IF2014009010	115872	IF2011001122	M
IF2014009012	77028	IF2011001056	F
IF2014009014	IOLR.DL.SEM0..2017.5	IF2011001102	U
IF2014009016	185618	IF2011001413	U
IF2014009019	102209	IF2011001441	F
IF2014009020	193778	IF2011001122	F
IF2014009022	5185509	IF2011001496	U
IF2014009023	454528	IF2011001056	U
IF2014009024	192652	IF2011001058	F
IF2014009025	454528	IF2011001499	F
